:START_ID(Lexicon-ID) lang :END_ID(Node-ID)
1229 fr 6230
1230 fr 6234
1231 fr 6251
1232 fr 6253
1233 fr 6254
1234 fr 6259
1235 fr 6263
1236 fr 6267
1237 fr 6279
1238 fr 6282
1239 fr 6283
1240 fr 6284
1241 fr 6303
1242 fr 6306
1243 fr 6317
1244 fr 6318
1245 fr 6319
1246 fr 6328
1247 fr 6343
1248 fr 6348
1249 fr 6360
1250 fr 6361
1251 fr 6363
1252 fr 6365
1253 fr 6368
1254 fr 6378
1255 fr 6380
1256 fr 6382
1257 fr 6387
1258 fr 6388
1259 fr 6393
1260 fr 6398
1261 fr 6400
1262 fr 6405
1263 fr 6419
1264 fr 6426
1265 fr 6427
1266 fr 6434
1267 fr 6438
1268 fr 6439
1269 fr 6441
1270 fr 6443
1271 fr 6452
1272 fr 6455
1273 fr 6460
1274 fr 6472
1275 fr 6477
1276 fr 6479
1277 fr 6481
1278 fr 6499
1279 fr 6503
1280 fr 6504
1281 fr 6507
1282 fr 6512
1283 fr 6515
1284 fr 6517
1285 fr 6523
1286 fr 6527
1287 fr 6529
1288 fr 6537
1289 fr 6538
1290 fr 6543
1291 fr 6553
1292 fr 6557
1293 fr 6558
1294 fr 6562
1295 fr 6569
1296 fr 6574
1297 fr 6582
1298 fr 6584
1299 fr 6585
1300 fr 6586
1301 fr 6588
1302 fr 6592
1303 fr 6594
1304 fr 6596
1305 fr 6597
1306 fr 6599
1307 fr 6600
1308 fr 6603
1309 fr 6604
1310 fr 6611
1311 fr 6615
1312 fr 6623
1313 fr 6629
1314 fr 6632
1315 fr 6634
1316 fr 6638
1317 fr 6640
1318 fr 6641
1319 fr 6647
1320 fr 6649
1321 fr 6650
1322 fr 6653
1323 fr 6654
1324 fr 6666
1325 fr 6669
1326 fr 6671
1327 fr 6677
1328 fr 6682
1329 fr 6683
1330 fr 6685
1331 fr 6707
1332 fr 6708
1333 fr 6710
1334 fr 6716
1335 fr 6726
1336 fr 6729
1337 fr 6733
1338 fr 6735
1339 fr 6740
1340 fr 6744
1341 fr 6747
1342 fr 6750
1343 fr 6751
1344 fr 6753
1345 fr 6756
1346 fr 6757
1347 fr 6758
1348 fr 6764
1349 fr 6767
1350 fr 6771
1351 fr 6772
1352 fr 6775
1353 fr 6784
1354 fr 6785
1355 fr 6786
1356 fr 6791
1357 fr 6799
1358 fr 6802
1359 fr 6809
1360 fr 6816
1361 fr 6825
1362 fr 6834
1363 fr 6835
1364 fr 6838
1365 fr 6840
1366 fr 6844
1367 fr 6848
1368 fr 6849
1369 fr 6850
1370 fr 6857
1371 fr 6864
1372 fr 6865
1373 fr 6867
1374 fr 6871
1375 fr 6880
1376 fr 6884
1377 fr 6891
1378 fr 6898
1379 fr 6901
1380 fr 6906
1381 fr 6912
1382 fr 6914
1383 fr 6921
1384 fr 6923
1385 fr 6930
1386 fr 6936
1387 fr 6937
1388 fr 6950
1389 fr 6951
1390 fr 6952
1391 fr 6962
1392 fr 6966
1393 fr 6968
1394 fr 6971
1395 fr 6974
1396 fr 6976
1397 fr 6978
1398 fr 6980
1399 fr 6982
1400 fr 6988
1401 fr 6992
1402 fr 6997
1403 fr 6998
1404 fr 7005
1405 fr 7007
1406 fr 7015
1407 fr 7018
1408 fr 7023
1409 fr 7024
1410 fr 7031
1411 fr 7036
1412 fr 7037
1413 fr 7038
1414 fr 7039
1415 fr 7043
1416 fr 7044
1417 fr 7048
1418 fr 7050
1419 fr 7064
1420 fr 7088
1421 fr 7092
1422 fr 7100
1423 fr 7102
1424 fr 7104
1425 fr 7106
1426 fr 7107
1427 fr 7114
1428 fr 7116
1429 fr 7125
1430 fr 7128
1431 fr 7130
1432 fr 7142
1433 fr 7150
1434 fr 7158
1435 fr 7162
1436 fr 7174
1437 fr 7181
1438 fr 7183
1439 fr 7186
1440 fr 7190
1441 fr 7194
1442 fr 7197
1443 fr 7203
1444 fr 7211
1445 fr 7227
1446 fr 7235
1447 fr 7237
1448 fr 7239
1449 fr 7243
1450 fr 7249
1451 fr 7257
1452 fr 7262
1453 fr 7264
1454 fr 7270
1455 fr 7277
1456 fr 7280
1457 fr 7283
1458 fr 7291
1459 fr 7296
1460 fr 7310
1461 fr 7317
1462 fr 7318
1463 fr 7320
1464 fr 7321
1465 fr 7336
1466 fr 7338
1467 fr 7339
1468 fr 7346
1469 fr 7348
1470 fr 7357
1471 fr 7365
1472 fr 7368
1473 fr 7372
1474 fr 7374
1475 fr 7390
1476 fr 7391
1477 fr 7397
1478 fr 7407
1479 fr 7414
1480 fr 7424
1481 fr 7447
1482 fr 7450
1483 fr 7461
1484 fr 7469
1485 fr 7478
1486 fr 7483
1487 fr 7487
1488 fr 7495
1489 fr 7501
1490 fr 7507
1491 fr 7512
1492 fr 7513
1493 fr 7514
1494 fr 7517
1495 fr 7519
1496 fr 7521
1497 fr 7525
1498 fr 7526
1499 fr 7530
1500 fr 7546
1501 fr 7549
1502 fr 7550
1503 fr 7551
1504 fr 7560
1505 fr 7561
1506 fr 7566
1507 fr 7572
1508 fr 7573
1509 fr 7579
1510 fr 7580
1511 fr 7583
1512 fr 7584
1513 fr 7585
1514 fr 7586
1515 fr 7587
1516 fr 7588
1517 fr 7589
1518 fr 7593
1519 fr 7597
1520 fr 7598
1521 fr 7600
1522 fr 7605
1523 fr 7607
1524 fr 7608
1525 fr 7610
1526 fr 7611
1527 fr 7614
1528 fr 7616
1529 fr 7618
1530 fr 7620
1531 fr 7621
1532 fr 7629
1533 fr 7638
1534 fr 7640
1535 fr 7646
1536 fr 7647
1537 fr 7648
1538 fr 7650
1539 fr 7657
1540 fr 7658
1541 fr 7661
1542 fr 7665
1543 fr 7669
1544 fr 7683
1545 fr 7685
1546 fr 7692
1547 fr 7699
1548 fr 7703
1549 fr 7707
1550 fr 7710
1551 fr 7718
1552 fr 7725
